PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
(mf): mac-flapping blocked
(c): CFM down
(sd): STP instance discarding
InUti/OutUti: input utility/output utility
Interface                   PHY   Protocol  InUti OutUti   inErrors  outErrors
50|100GE1/0/4(100G)         up    down      1.32%  1.27%          0          0
50|100GE1/0/6(100G)         up    down      0.87%  1.21%          0          0
50|100GE1/1/4(100G)         up    down      1.34%  1.25%          0          0
50|100GE1/1/6(100G)         up    down      1.09%  1.19%          0          0
50|100GE2/0/4(100G)         up    down      2.19%  1.22%          0          0
50|100GE2/0/6(100G)         up    down      2.28%  1.19%          0          0
50|100GE2/1/4(100G)         up    down      1.91%  1.26%          0          0
50|100GE2/1/6(100G)         up    down      1.65%  1.22%          0          0
50|100GE3/0/2(100G)         *down down         0%     0%          0          0
50|100GE3/0/4(100G)         *down down         0%     0%          0          0
50|100GE3/0/6(100G)         *down down         0%     0%          0          0
50|100GE3/1/2(100G)         *down down         0%     0%          0          0
50|100GE3/1/4(100G)         *down down         0%     0%          0          0
50|100GE3/1/6(100G)         *down down         0%     0%          0          0
Eth-Trunk1                  up    down      0.01%  0.01%          0          0
  50|100GE1/1/0(100G)       up    up        0.01%  0.01%          0          0
  50|100GE2/1/0(100G)       up    up        0.01%  0.01%          0          0
  50|100GE3/0/0(100G)       up    up        0.01%  0.01%          0          0
  50|100GE3/1/0(100G)       up    up        0.01%  0.01%          0          0
Eth-Trunk2                  up    down      0.15%  0.29%          0          0
  GigabitEthernet4/0/5(10G) up    up        0.15%  0.29%          0          0
  GigabitEthernet5/0/5(10G) up    up        0.15%  0.30%          0          0
Eth-Trunk3                  up    up        3.25%  3.75%          0          0
  50|100GE1/0/0(100G)       up    up        2.07%  3.76%          0          0
  50|100GE2/0/0(100G)       up    up        4.42%  3.74%          0          0
Eth-Trunk4                  up    up        0.94%  3.44%          0          0
  GigabitEthernet4/0/0(10G) up    up        0.96%  3.69%          0          0
  GigabitEthernet5/0/0(10G) up    up        0.91%  3.19%          0          0
Eth-Trunk5                  up    down      0.95%  0.89%          0          0
  GigabitEthernet4/0/1(10G) up    up        1.00%  0.93%          0          0
  GigabitEthernet4/0/2(10G) up    up        1.04%  0.88%          0          0
  GigabitEthernet5/0/1(10G) up    up        0.84%  0.94%          0          0
  GigabitEthernet5/0/2(10G) up    up        0.91%  0.82%          0          0
Eth-Trunk6                  up    down      0.01%  0.01%          0          0
  GigabitEthernet4/0/3(10G) up    up        0.01%  0.01%          0          0
  GigabitEthernet4/0/4(10G) up    up        0.01%  0.01%          0          0
  GigabitEthernet5/0/3(10G) up    up        0.01%  0.01%          0          0
  GigabitEthernet5/0/4(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk7                  up    up        0.01%  0.01%          0          0
  GigabitEthernet5/0/6(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk8                  up    down      0.33%  0.35%          0          0
  GigabitEthernet4/0/7(10G) up    up        0.36%  0.36%          0          0
  GigabitEthernet5/0/7(10G) up    up        0.30%  0.34%          0          0
Eth-Trunk9                  up    down      0.01%  0.01%          0          0
  GigabitEthernet4/0/8(10G) up    up        0.01%  0.01%          0          0
  GigabitEthernet5/0/8(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk12                 up    down      0.01%  0.01%          0          0
  GigabitEthernet4/0/9(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk13                 up    down      0.01%  0.01%          0          0
  GigabitEthernet5/0/9(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk14                 up    down      0.01%  0.01%          0          0
  GigabitEthernet4/0/10(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk15                 up    down      0.01%  0.01%          0          0
  GigabitEthernet5/0/10(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk16                 up    down      0.01%  0.01%          0          0
  GigabitEthernet4/0/6(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk20                 up    down      0.02%  0.02%          0          0
  GigabitEthernet4/0/11(10G) up    up        0.02%  0.02%          0          0
Eth-Trunk21                 up    down      0.01%  0.01%          0          0
  GigabitEthernet5/0/11(10G) up    up        0.01%  0.01%          0          0
Eth-Trunk151                up    down      6.97%  7.49%          0          0
  50|100GE1/0/2(100G)       up    up        7.42%  7.51%          0          0
  50|100GE2/0/2(100G)       up    up        6.53%  7.48%          0          0
Eth-Trunk152                up    down      0.01%  0.01%          0          0
  50|100GE1/1/2(100G)       up    up        0.01%  0.01%          0          0
  50|100GE2/1/2(100G)       up    up        0.01%  0.01%          0          0
GigabitEthernet0/0/0        up    down      0.01%  0.03%          0          0
GigabitEthernet4/0/12(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/13(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/14(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/15(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/16(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/17(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/18(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/19       *down down         0%     0%          0          0
GigabitEthernet4/0/20(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/21       *down down         0%     0%          0          0
GigabitEthernet4/0/22(10G)  *down down         0%     0%          0          0
GigabitEthernet4/0/23(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/12(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/13(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/14(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/15(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/16(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/17(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/18(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/19(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/20(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/21(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/22(10G)  *down down         0%     0%          0          0
GigabitEthernet5/0/23(10G)  *down down         0%     0%          0          0
HP-GE9/3/0                  *down down         0%     0%          0          0
HP-GE9/3/1                  *down down         0%     0%          0          0
HP-GE10/3/0                 *down down         0%     0%          0          0
HP-GE10/3/1                 *down down         0%     0%          0          0
LoopBack0                   up    up(s)        0%     0%          0          0
LoopBack1                   up    up(s)        0%     0%          0          0
LoopBack2                   up    up(s)        0%     0%          0          0
LoopBack11                  up    up(s)        0%     0%          0          0
LoopBack12                  up    up(s)        0%     0%          0          0
LoopBack13                  up    up(s)        0%     0%          0          0
LoopBack14                  up    up(s)        0%     0%          0          0
LoopBack15                  up    up(s)        0%     0%          0          0
LoopBack16                  up    up(s)        0%     0%          0          0
LoopBack17                  up    up(s)        0%     0%          0          0
LoopBack18                  up    up(s)        0%     0%          0          0
LoopBack19                  up    up(s)        0%     0%          0          0
LoopBack20                  up    up(s)        0%     0%          0          0
LoopBack30                  up    up(s)        0%     0%          0          0
LoopBack40                  up    up(s)        0%     0%          0          0
LoopBack41                  up    up(s)        0%     0%          0          0
LoopBack42                  up    up(s)        0%     0%          0          0
LoopBack43                  up    up(s)        0%     0%          0          0
LoopBack48                  up    up(s)        0%     0%          0          0
LoopBack49                  up    up(s)        0%     0%          0          0
LoopBack50                  up    up(s)        0%     0%          0          0
LoopBack52                  up    up(s)        0%     0%          0          0
LoopBack53                  up    up(s)        0%     0%          0          0
LoopBack54                  up    up(s)        0%     0%          0          0
LoopBack55                  up    up(s)        0%     0%          0          0
LoopBack56                  up    up(s)        0%     0%          0          0
LoopBack57                  up    up(s)        0%     0%          0          0
LoopBack58                  up    up(s)        0%     0%          0          0
LoopBack59                  up    up(s)        0%     0%          0          0
LoopBack60                  up    up(s)        0%     0%          0          0
LoopBack61                  up    up(s)        0%     0%          0          0
LoopBack62                  up    up(s)        0%     0%          0          0
LoopBack63                  up    up(s)        0%     0%          0          0
LoopBack64                  up    up(s)        0%     0%          0          0
LoopBack65                  up    up(s)        0%     0%          0          0
LoopBack67                  up    up(s)        0%     0%          0          0
LoopBack69                  up    up(s)        0%     0%          0          0
LoopBack70                  up    up(s)        0%     0%          0          0
LoopBack71                  up    up(s)        0%     0%          0          0
LoopBack87                  up    up(s)        0%     0%          0          0
LoopBack88                  up    up(s)        0%     0%          0          0
LoopBack89                  up    up(s)        0%     0%          0          0
LoopBack99                  up    up(s)        0%     0%          0          0
LoopBack200                 up    up(s)        0%     0%          0          0
LoopBack201                 up    up(s)        0%     0%          0          0
LoopBack202                 up    up(s)        0%     0%          0          0
LoopBack203                 up    up(s)        0%     0%          0          0
LoopBack204                 up    up(s)        0%     0%          0          0
LoopBack205                 up    up(s)        0%     0%          0          0
LoopBack206                 up    up(s)        0%     0%          0          0
LoopBack207                 up    up(s)        0%     0%          0          0
LoopBack208                 up    up(s)        0%     0%          0          0
LoopBack209                 up    up(s)        0%     0%          0          0
LoopBack210                 up    up(s)        0%     0%          0          0
LoopBack211                 up    up(s)        0%     0%          0          0
LoopBack212                 up    up(s)        0%     0%          0          0
LoopBack213                 up    up(s)        0%     0%          0          0
LoopBack214                 up    up(s)        0%     0%          0          0
LoopBack215                 up    up(s)        0%     0%          0          0
LoopBack216                 up    up(s)        0%     0%          0          0
LoopBack217                 up    up(s)        0%     0%          0          0
LoopBack218                 up    up(s)        0%     0%          0          0
LoopBack219                 up    up(s)        0%     0%          0          0
LoopBack220                 up    up(s)        0%     0%          0          0
LoopBack221                 up    up(s)        0%     0%          0          0
LoopBack222                 up    up(s)        0%     0%          0          0
LoopBack223                 up    up(s)        0%     0%          0          0
LoopBack224                 up    up(s)        0%     0%          0          0
LoopBack225                 up    up(s)        0%     0%          0          0
LoopBack226                 up    up(s)        0%     0%          0          0
LoopBack227                 up    up(s)        0%     0%          0          0
LoopBack228                 up    up(s)        0%     0%          0          0
LoopBack229                 up    up(s)        0%     0%          0          0
LoopBack230                 up    up(s)        0%     0%          0          0
LoopBack231                 up    up(s)        0%     0%          0          0
LoopBack232                 up    up(s)        0%     0%          0          0
LoopBack233                 up    up(s)        0%     0%          0          0
LoopBack234                 up    up(s)        0%     0%          0          0
LoopBack235                 up    up(s)        0%     0%          0          0
LoopBack236                 up    up(s)        0%     0%          0          0
LoopBack237                 up    up(s)        0%     0%          0          0
LoopBack238                 up    up(s)        0%     0%          0          0
LoopBack239                 up    up(s)        0%     0%          0          0
LoopBack240                 up    up(s)        0%     0%          0          0
LoopBack241                 up    up(s)        0%     0%          0          0
LoopBack242                 up    up(s)        0%     0%          0          0
LoopBack243                 up    up(s)        0%     0%          0          0
LoopBack244                 up    up(s)        0%     0%          0          0
LoopBack245                 up    up(s)        0%     0%          0          0
LoopBack246                 up    up(s)        0%     0%          0          0
LoopBack247                 up    up(s)        0%     0%          0          0
LoopBack248                 up    up(s)        0%     0%          0          0
LoopBack249                 up    up(s)        0%     0%          0          0
LoopBack250                 up    up(s)        0%     0%          0          0
LoopBack251                 up    up(s)        0%     0%          0          0
LoopBack252                 up    up(s)        0%     0%          0          0
LoopBack253                 up    up(s)        0%     0%          0          0
LoopBack254                 up    up(s)        0%     0%          0          0
LoopBack255                 up    up(s)        0%     0%          0          0
LoopBack256                 up    up(s)        0%     0%          0          0
LoopBack257                 up    up(s)        0%     0%          0          0
LoopBack258                 up    up(s)        0%     0%          0          0
LoopBack259                 up    up(s)        0%     0%          0          0
LoopBack260                 up    up(s)        0%     0%          0          0
LoopBack261                 up    up(s)        0%     0%          0          0
LoopBack262                 up    up(s)        0%     0%          0          0
LoopBack263                 up    up(s)        0%     0%          0          0
LoopBack264                 up    up(s)        0%     0%          0          0
LoopBack265                 up    up(s)        0%     0%          0          0
LoopBack266                 up    up(s)        0%     0%          0          0
LoopBack267                 up    up(s)        0%     0%          0          0
LoopBack268                 up    up(s)        0%     0%          0          0
LoopBack269                 up    up(s)        0%     0%          0          0
LoopBack270                 up    up(s)        0%     0%          0          0
LoopBack271                 up    up(s)        0%     0%          0          0
LoopBack272                 up    up(s)        0%     0%          0          0
LoopBack273                 up    up(s)        0%     0%          0          0
